"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Pre-treatment_Post-treatment",0.0562128876463083,"Otu00014",0.000331065830938524,0.00213820872908605,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0,0,0.0870629140461473,0.0280272199405592
"2",2,"Pre-treatment_Post-treatment",0.0493746403975187,"Otu00001",0.52211587925088,0.717909333969961,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.0546074670395974,0.0851510568418237,0.0661798901468922,0.0471360604200028
"3",3,"Pre-treatment_Post-treatment",0.048948775551756,"Otu00012",0.00064063901472727,0.00213820872908605,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.00190725072021207,0.00341802035655478,0.0776847872444682,0.019334441345234
"4",4,"Pre-treatment_Post-treatment",0.044952505804083,"Otu00013",0.666227645409616,0.81427823327842,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0700906471224129,0.0755017875951817,0.00557817157711365,0.00765055578793032
"5",5,"Pre-treatment_Post-treatment",0.044020216602883,"Otu00005",0.0027417331272205,0.00502651073323759,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0734164676650204,0.0774543047130072,0.0053147724831654,0.00416045512382931
"6",6,"Pre-treatment_Post-treatment",0.042120847332129,"Otu00002",0.958091128226721,0.958091128226721,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0530086355480666,0.0471525703948012,0.0703680736641404,0.0689861884590912
"7",7,"Pre-treatment_Post-treatment",0.041782849364061,"Otu00010",0.000777530446940383,0.00213820872908605,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0120670105916223,0.00887055470811872,0.0766807129010253,0.0367884130929382
"8",8,"Pre-treatment_Post-treatment",0.041754146674217,"Otu00006",0.246737636807881,0.38773057212667,"Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma",0.0650011804013737,0.0706042394937696,0.000262781186085181,0.000397680247903015
"9",9,"Pre-treatment_Post-treatment",0.036814812086988,"Otu00008",0.000553717795827587,0.00213820872908605,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0574677648187516,0.0522536434700063,0.000130718963182978,0.000242044498101584
"10",10,"Pre-treatment_Post-treatment",0.033912004258779,"Otu00004",0.00232209451587801,0.00502651073323759,"Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium",0.0358069281985849,0.0103760847100736,0.0878084812829316,0.0295610070880349
"11",11,"Pre-treatment_Post-treatment",0.033691470414811,"Otu00009",0.862064716070073,0.94827118767708,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0468694365073103,0.0812906156966178,0.0157938587772306,0.0181084644753644
