"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Pre-treatment_Post-treatment",0.0789808614672072,"Otu00002",0.0379772035555274,0.0522186548888501,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0455004516154672,0.0252327757144806,0.153321859896638,0.111776717751684
"2",2,"Pre-treatment_Post-treatment",0.0711877493525368,"Otu00005",0.0023158069098906,0.00636846900219916,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.115047413674704,0.114382311766388,0.00769562903118641,0.00588413682354404
"3",3,"Pre-treatment_Post-treatment",0.062159196413542,"Otu00001",0.286814300784103,0.286814300784103,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.0716885549312731,0.0989470938468036,0.0980384418762396,0.0572762135433435
"4",4,"Pre-treatment_Post-treatment",0.045177242797406,"Otu00004",0.00541053385608486,0.0119031744833867,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0409970075435372,0.0141491312847179,0.100423193991833,0.040870260745796
"5",5,"Pre-treatment_Post-treatment",0.042246617933862,"Otu00012",0.000692722044073254,0.00393565352753888,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.00239834938863958,0.00313630108047008,0.0664222850363104,0.0375597636374766
"6",6,"Pre-treatment_Post-treatment",0.041361550414892,"Otu00006",0.0295349521777284,0.046412067707859,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0634219431382856,0.0748605856116325,0.000409051613007989,0.00073371017527967
"7",7,"Pre-treatment_Post-treatment",0.03476133969358,"Otu00008",0.000811205869650368,0.00393565352753888,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0532123683562058,0.0420871435375186,5.81125058112506e-05,0.000174337517433752
"8",8,"Pre-treatment_Post-treatment",0.031554866773443,"Otu00010",0.00107336005296515,0.00393565352753888,"Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma",0.018407239210891,0.0152944083353601,0.0647654237563801,0.0313694206501156
"9",9,"Pre-treatment_Post-treatment",0.029631133675473,"Otu00011",0.0757560631794604,0.0925907438860071,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0454766163698531,0.0408594230801127,0.000640446989576959,0.00068298891180384
"10",10,"Pre-treatment_Post-treatment",0.025681855226746,"Otu00009",0.0143435970309364,0.0262965945567167,"Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium",0.00570037414426156,0.0105436677274441,0.041614690555853,0.0352362413304947
"11",11,"Pre-treatment_Post-treatment",0.023025857109702,"Otu00021",0.203005001196291,0.22330550131592,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0351159252032718,0.0661841084294131,5.80517821897132e-05,0.00017415534656914
