Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre,High Fat_Saccharin,0.05436624,Otu00021,0.695699529,0.795439938,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.036595394,0.082836971,0.035115925,0.066184108
Pre,High Fat_Saccharin,0.038603529,Otu00008,0.309379737,0.488819985,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.037031549,0.033539435,0.053212368,0.042087144
Pre,High Fat_Stevia,0.082391074,Otu00001,0.464510967,0.638197677,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.057251324,0.114182811,0.054607467,0.085151057
Pre,High Fat_Stevia,0.08154157,Otu00006,0.834931318,0.891345597,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.07165183,0.097066583,0.06500118,0.070604239
Pre,High Fat_Stevia,0.071566667,Otu00013,0.834931318,0.891345597,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Anaerotruncus,0.059605048,0.07459827,0.070090647,0.075501788
Pre,High Fat_Stevia,0.06983378,Otu00005,0.500581352,0.65909878,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.0838579,0.063598775,0.073416468,0.077454305
Pre,High Fat_Stevia,0.063774137,Otu00009,0.300987649,0.480364126,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.03122807,0.093684211,0.046869437,0.081290616
Pre,High Fat_Stevia,0.05861755,Otu00011,0.231506926,0.420437866,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.065375134,0.069248093,0.034597513,0.03784323
Pre,High Fat_Stevia,0.049733477,Otu00021,0.612613562,0.743741549,Proteobacteria - Betaproteobacteria - Burkholderiales - Alcaligenaceae - Parasutterella,0.036595394,0.082836971,0.023784073,0.067271516
Pre,Saccharin_Stevia,0.093487058,Otu00005,0.563702862,0.709736186,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.115047414,0.114382312,0.073416468,0.077454305
Pre,Saccharin_Stevia,0.082616354,Otu00001,0.657225676,0.773999765,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.071688555,0.098947094,0.054607467,0.085151057
Pre,Saccharin_Stevia,0.06982466,Otu00006,0.490858491,0.6572512,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.063421943,0.074860586,0.06500118,0.070604239
Pre,Saccharin_Stevia,0.065643972,Otu00013,0.297455214,0.480364126,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.031214506,0.042133095,0.070090647,0.075501788
Pre,Saccharin_Stevia,0.048355057,Otu00008,0.772829993,0.847966242,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.053212368,0.042087144,0.057467765,0.052253643
