Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Low Fat_High Fat,0.05309784,Otu00004,0.014305878,0.038149009,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.01118653,0.010112469,0.094726587,0.035913702
Low Fat_High Fat,0.048204375,Otu00012,0.014305878,0.038149009,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.003672986,0.002692655,0.079580352,0.021899333
Low Fat_High Fat,0.040400236,Otu00010,0.014305878,0.038149009,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.008086585,0.003815481,0.071704597,0.01863181
Low Fat_High Fat,0.040376812,Otu00003,0.014305878,0.038149009,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.022587651,0.009347431,0.086174786,0.025926451
Low Fat_High Fat,0.038664999,Otu00008,0.010515246,0.038149009,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.060981076,0.064271127,0,0
Low Fat_High Fat,0.038545,Otu00014,0.007290358,0.038149009,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.060722047,0.035278882
Low Fat_High Fat,0.038246077,Otu00006,0.014305878,0.038149009,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.065655198,0.053129305,0.00525411,0.007078219
Low Fat_Saccharin,0.141803668,Otu00002,0.007058332,0.038149009,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.003690037,0.008251173,0.232340308,0.077740635
Low Fat_Saccharin,0.044044393,Otu00012,0.009023439,0.038149009,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.003672986,0.002692655,0.074685918,0.011757191
Low Fat_Saccharin,0.040087302,Otu00006,0.008207736,0.038149009,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.065655198,0.053129305,0.00063169,0.000941256
