"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Pre-treatment_Post-treatment",0.15208044198164,"Otu00001",0.000777530446940383,0.00207341452517435,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.367878740381503,0.0824680749523239,0.21880316261415,0.0342022692806698
"2",2,"Pre-treatment_Post-treatment",0.113914657884152,"Otu00015",0.000777530446940383,0.00207341452517435,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0.133178114461762,0.0447343391813501,0.0215028346505511,0.0204866903718754
"3",3,"Pre-treatment_Post-treatment",0.09079935319615,"Otu00012",0.293621543928906,0.46979447028625,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.129281877313087,0.0944088227598757,0.1761846312362,0.038162451035831
"4",4,"Pre-treatment_Post-treatment",0.088811215735259,"Otu00014",0.000331065830938524,0.00207341452517435,"Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus",0,0,0.0870722815075308,0.0280234296536234
"5",5,"Female_Male",0.13779823696014,"Otu00001",0.528612125255687,0.604128143149357,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.308811354463986,0.112553968503429,0.277870548531667,0.0863394109237701
"6",6,"Female_Male",0.114324790335156,"Otu00012",0.141482121482793,0.282964242965587,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.118426664799226,0.0799087844913035,0.187039843750061,0.0505064246478502
"7",7,"Female_Male",0.100524301050334,"Otu00015",0.674424072235291,0.674424072235291,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0.0902929156637517,0.0858050355022032,0.0643880334485619,0.0424428204618093
"8",8,"Female_Male",0.081287780703737,"Otu00002",0.400814169382935,0.53441889251058,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.0711369301235529,0.0580188704798512,0.0522499403028645,0.0598887535665068
