Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Low Fat_High Fat,0.082362465,Otu00002,0.003573757,0.013758964,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.001896913,0.005818513,0.132911325,0.088061366
Low Fat_High Fat,0.062523815,Otu00007,0.034122491,0.084755865,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.101626902,0.103826424,0.015475511,0.023894118
Low Fat_High Fat,0.057558785,Otu00004,0.000231122,0.002607675,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.012194069,0.011568253,0.104364382,0.03034977
Low Fat_High Fat,0.047085639,Otu00023,0.006181081,0.020693184,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.07915109,0.059428936,0.00702001,0.012358564
Low Fat_High Fat,0.04496697,Otu00012,0.000235566,0.002607675,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.003670881,0.00318113,0.075658368,0.024513195
Low Fat_High Fat,0.040266361,Otu00014,7.10E-05,0.002607675,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0,0,0.06445697,0.027301251
Low Fat_High Fat,0.033392675,Otu00001,0.072448014,0.15077019,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.10886258,0.051480248,0.069809321,0.020958514
Low Fat_High Fat,0.032586617,Otu00010,0.000237061,0.002607675,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.008114419,0.005272128,0.06030337,0.018478357
Low Fat_High Fat,0.024805317,Otu00008,0.000346867,0.002636525,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.03965347,0.050801682,0,0
Low Fat_High Fat,0.023909666,Otu00003,0.007050729,0.021716246,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.033837011,0.019212545,0.06766556,0.026743591
Low Fat_High Fat,0.020624154,Otu00011,0.043888313,0.10309189,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.033021007,0.030355694,0.000467379,0.000488341
Low Fat_High Fat,0.020496184,Otu00006,0.172775416,0.302356978,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.032827599,0.049517006,0.00233516,0.005143558
Low Fat_Saccharin,0.095696176,Otu00002,0.00018941,0.002607675,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001896913,0.005818513,0.15332186,0.111776718
Low Fat_Saccharin,0.063040226,Otu00007,0.023709076,0.062951686,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0.101626902,0.103826424,0.011926652,0.01800508
Low Fat_Saccharin,0.057425168,Otu00004,0.002747188,0.011133342,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.012194069,0.011568253,0.100423194,0.040870261
Low Fat_Saccharin,0.04767974,Otu00023,0.006560051,0.021046831,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.07915109,0.059428936,0.006283012,0.008023404
