"","Comparison","SIMPER","OTU"
"1","Pre-treatment_Post-treatment",0.0789808614672072,"Otu00002"
"2","Pre-treatment_Post-treatment",0.0711877493525368,"Otu00005"
"3","Pre-treatment_Post-treatment",0.062159196413542,"Otu00001"
"4","Pre-treatment_Post-treatment",0.045177242797406,"Otu00004"
"5","Pre-treatment_Post-treatment",0.042246617933862,"Otu00012"
"6","Pre-treatment_Post-treatment",0.041361550414892,"Otu00006"
"7","Pre-treatment_Post-treatment",0.03476133969358,"Otu00008"
"8","Pre-treatment_Post-treatment",0.031554866773443,"Otu00010"
"9","Pre-treatment_Post-treatment",0.029631133675473,"Otu00011"
"10","Pre-treatment_Post-treatment",0.025681855226746,"Otu00009"
"11","Pre-treatment_Post-treatment",0.023025857109702,"Otu00021"
"12","Female_Male",0.0834792002106576,"Otu00002"
"13","Female_Male",0.0789273440397204,"Otu00005"
"14","Female_Male",0.067301696935241,"Otu00001"
"15","Female_Male",0.043576460787406,"Otu00006"
"16","Female_Male",0.036925360476038,"Otu00004"
"17","Female_Male",0.034576591523004,"Otu00012"
"18","Female_Male",0.030422008301071,"Otu00010"
"19","Female_Male",0.029330551333304,"Otu00008"
"20","Female_Male",0.027864898127227,"Otu00011"
"21","Female_Male",0.025435796132015,"Otu00013"
"22","Female_Male",0.024201231507007,"Otu00021"
