"","Comparison","SIMPER","OTU"
"1","Low Fat_High Fat",0.356841508838545,"Otu00001"
"2","Low Fat_Saccharin",0.288727186084951,"Otu00001"
"3","Low Fat_Saccharin",0.146822047290203,"Otu00012"
"4","Low Fat_Stevia",0.258387316549268,"Otu00001"
"5","Low Fat_Stevia",0.201669298553231,"Otu00012"
"6","High Fat_Saccharin",0.344540677363626,"Otu00001"
"7","High Fat_Stevia",0.352938794805148,"Otu00001"
"8","Saccharin_Stevia",0.2721051077613,"Otu00001"
"9","Saccharin_Stevia",0.213606141881864,"Otu00012"
"10","Male_Female",0.305419640209802,"Otu00001"
