Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Post,Low Fat_High Fat,0.040266361,Otu00014,7.10E-05,0.001356087,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0,0,0.06445697,0.027301251
Post,Low Fat_High Fat,0.033392675,Otu00001,0.072448014,0.195924628,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.10886258,0.051480248,0.069809321,0.020958514
Post,Low Fat_High Fat,0.032586617,Otu00010,0.000237061,0.002835619,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.008114419,0.005272128,0.06030337,0.018478357
Post,Low Fat_High Fat,0.024805317,Otu00008,0.000346867,0.003549607,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.03965347,0.050801682,0,0
Post,Low Fat_High Fat,0.023909666,Otu00003,0.007050729,0.030455233,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.033837011,0.019212545,0.06766556,0.026743591
Post,Low Fat_High Fat,0.020624154,Otu00011,0.043888313,0.128417535,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.033021007,0.030355694,0.000467379,0.000488341
Post,Low Fat_High Fat,0.020496184,Otu00006,0.172775416,0.381086202,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.032827599,0.049517006,0.00233516,0.005143558
Post,Low Fat_Saccharin,0.095696176,Otu00002,0.00018941,0.002677562,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001896913,0.005818513,0.15332186,0.111776718
Post,Low Fat_Saccharin,0.063040226,Otu00007,0.023709076,0.077616029,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0.101626902,0.103826424,0.011926652,0.01800508
Post,Low Fat_Saccharin,0.057425168,Otu00004,0.002747188,0.0138717,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.012194069,0.011568253,0.100423194,0.040870261
Post,Low Fat_Saccharin,0.04767974,Otu00023,0.006560051,0.028734873,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.07915109,0.059428936,0.006283012,0.008023404
Post,Low Fat_Saccharin,0.039805391,Otu00012,0.001079836,0.007145299,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.003670881,0.00318113,0.066422285,0.037559764
Post,Low Fat_Saccharin,0.037473748,Otu00001,0.713182911,0.821481057,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.10886258,0.051480248,0.098038442,0.057276214
Post,Low Fat_Saccharin,0.035784619,Otu00010,0.000237061,0.002835619,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.008114419,0.005272128,0.064765424,0.031369421
Post,Low Fat_Saccharin,0.024967718,Otu00008,0.000551404,0.004305156,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.03965347,0.050801682,5.81E-05,0.000174338
Post,Low Fat_Saccharin,0.024826746,Otu00009,0.216595493,0.445998036,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.016448981,0.028648457,0.041614691,0.035236241
Post,Low Fat_Saccharin,0.020832647,Otu00021,0.002000891,0.01131413,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.033032613,0.029808323,5.81E-05,0.000174155
Post,Low Fat_Saccharin,0.020739962,Otu00011,0.044182239,0.128417535,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.033021007,0.030355694,0.000640447,0.000682989
Post,Low Fat_Saccharin,0.020656958,Otu00006,0.172775416,0.381086202,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.032827599,0.049517006,0.000409052,0.00073371
Post,Low Fat_Stevia,0.061092463,Otu00007,0.593190892,0.759186697,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.101626902,0.103826424,0.033181868,0.028067469
Post,Low Fat_Stevia,0.054399691,Otu00014,9.55E-05,0.001649825,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0,0,0.087062914,0.02802722
Post,Low Fat_Stevia,0.048235024,Otu00023,0.004360842,0.020864949,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.07915109,0.059428936,0.003854555,0.006302975
Post,Low Fat_Stevia,0.047213869,Otu00004,0.000366224,0.003549607,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.012194069,0.011568253,0.087808481,0.029561007
Post,Low Fat_Stevia,0.046258075,Otu00012,0.000371409,0.003549607,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.003670881,0.00318113,0.077684787,0.019334441
Post,Low Fat_Stevia,0.04333558,Otu00002,0.000816779,0.005644849,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.001896913,0.005818513,0.070368074,0.068986188
Post,Low Fat_Stevia,0.042849481,Otu00010,0.000376646,0.003549607,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.008114419,0.005272128,0.076680713,0.036788413
Post,Low Fat_Stevia,0.039478851,Otu00001,0.130719764,0.310334706,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Anaerotruncus,0.10886258,0.051480248,0.06617989,0.04713606
Post,Low Fat_Stevia,0.024732917,Otu00008,0.001339872,0.008334006,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.03965347,0.050801682,0.000130719,0.000242044
Post,Low Fat_Stevia,0.02233496,Otu00018,0.019383341,0.065524121,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.001254348,0.00138628,0.036586737,0.064846975
Post,Low Fat_Stevia,0.021214086,Otu00003,0.007685794,0.032301107,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.033837011,0.019212545,0.062873232,0.02752718
Post,Low Fat_Stevia,0.020688948,Otu00021,0.001799791,0.010365463,Proteobacteria - Betaproteobacteria - Burkholderiales - Alcaligenaceae - Parasutterella,0.033032613,0.029808323,0,0
Post,Low Fat_Stevia,0.020636575,Otu00011,0.028446365,0.09149327,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.033021007,0.030355694,0.000394119,0.000543941
Post,High Fat_Saccharin,0.137488466,Otu00002,0.757156352,0.853309348,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.132911325,0.088061366,0.15332186,0.111776718
Post,High Fat_Saccharin,0.060999352,Otu00001,0.200411075,0.429486771,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.069809321,0.020958514,0.098038442,0.057276214
Post,High Fat_Saccharin,0.046667013,Otu00009,0.01846578,0.063809529,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.006997642,0.013375343,0.041614691,0.035236241
Post,High Fat_Saccharin,0.042652508,Otu00004,0.964783978,0.971028534,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.104364382,0.03034977,0.100423194,0.040870261
Post,High Fat_Saccharin,0.041551263,Otu00012,0.565992148,0.742715435,Firmicutes - Clostridia - Clostridiales - Peptococcaceae - uncultured,0.075658368,0.024513195,0.066422285,0.037559764
Post,High Fat_Saccharin,0.040707062,Otu00003,0.046944727,0.135183427,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.06766556,0.026743591,0.041757083,0.021829115
Post,High Fat_Saccharin,0.040497737,Otu00014,0.005410534,0.024738167,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - uncultured,0.06445697,0.027301251,0.031825778,0.010726954
Post,High Fat_Saccharin,0.032481709,Otu00010,0.825282898,0.8944721,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.06030337,0.018478357,0.064765424,0.031369421
Post,High Fat_Saccharin,0.026979943,Otu00046,0.066524944,0.186389707,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.022467673,0.034045794,0,0
Post,High Fat_Saccharin,0.026391932,Otu00051,0.343843912,0.56880562,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.003844781,0.008346407,0.020684652,0.046768928
Post,High Fat_Stevia,0.12738599,Otu00002,0.177665829,0.38911319,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.132911325,0.088061366,0.070368074,0.068986188
Post,High Fat_Stevia,0.053567292,Otu00018,0.699785768,0.81301634,Firmicutes - Erysipelotrichia - Erysipelotrichales - Erysipelotrichaceae - Erysipelotrichaceae_unclassified,0.018824317,0.027331033,0.036586737,0.064846975
Post,High Fat_Stevia,0.049941292,Otu00001,0.772694498,0.864568805,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Tyzzerella,0.069809321,0.020958514,0.06617989,0.04713606
Post,High Fat_Stevia,0.044483969,Otu00014,0.101876059,0.257589059,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.06445697,0.027301251,0.087062914,0.02802722
Post,High Fat_Stevia,0.044206897,Otu00004,0.248213079,0.473584464,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.104364382,0.03034977,0.087808481,0.029561007
Post,High Fat_Stevia,0.0436316,Otu00010,0.441418327,0.660005287,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.06030337,0.018478357,0.076680713,0.036788413
Post,High Fat_Stevia,0.038906509,Otu00007,0.071306325,0.195924628,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Acetatifactor,0.015475511,0.023894118,0.033181868,0.028067469
Post,High Fat_Stevia,0.037262461,Otu00003,0.596415416,0.760185223,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.06766556,0.026743591,0.062873232,0.02752718
Post,High Fat_Stevia,0.032135145,Otu00029,0.664812621,0.803088363,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.018904232,0.018304979,0.028160007,0.028686168
Post,Saccharin_Stevia,0.134326538,Otu00002,0.082886624,0.214814501,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.15332186,0.111776718,0.070368074,0.068986188
Post,Saccharin_Stevia,0.068139973,Otu00001,0.288653831,0.53023436,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - uncultured,0.098038442,0.057276214,0.06617989,0.04713606
Post,Saccharin_Stevia,0.061893044,Otu00014,0.000532006,0.004305156,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnoclostridium,0.031825778,0.010726954,0.087062914,0.02802722
Post,Saccharin_Stevia,0.044216985,Otu00004,0.289838718,0.53023436,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.100423194,0.040870261,0.087808481,0.029561007
Post,Saccharin_Stevia,0.043239954,Otu00010,0.441418327,0.660005287,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Anaerotruncus,0.064765424,0.031369421,0.076680713,0.036788413
Post,Saccharin_Stevia,0.042881874,Otu00018,0.329621484,0.560176403,Firmicutes - Clostridia - Clostridiales - Clostridiales_unclassified - Clostridiales_unclassified,0.008542922,0.012049442,0.036586737,0.064846975
Post,Saccharin_Stevia,0.039956586,Otu00009,0.085004312,0.218482157,Firmicutes - Erysipelotrichia - Erysipelotrichales - Erysipelotrichaceae - Turicibacter,0.041614691,0.035236241,0.015793859,0.018108464
