Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
All,Low Fat_High Fat,0.270614676,Otu00001,0.020911079,0.064634244,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - NA,0.423020441,0.112526051,0.3186547,0.169074511
All,Low Fat_High Fat,0.120055802,Otu00012,0.81507648,0.839775767,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - NA,0.212468241,0.05172007,0.239484518,0.100622416
All,Low Fat_High Fat,0.105060011,Otu00002,0.002373974,0.010762015,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - NA,0.009985971,0.011377938,0.079453501,0.083065779
All,Low Fat_Saccharin,0.219392474,Otu00001,0.040710278,0.106473034,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - NA,0.423020441,0.112526051,0.349442486,0.100876521
All,Low Fat_Saccharin,0.146624492,Otu00002,4.00E-06,0.000271935,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - NA,0.009985971,0.011377938,0.099469253,0.096242648
All,Low Fat_Saccharin,0.125003639,Otu00010,0.00159178,0.009074809,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - NA,0.096007837,0.046285722,0.154583843,0.072193252
All,Low Fat_Stevia,0.242515829,Otu00001,0.00130259,0.009074809,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - NA,0.423020441,0.112526051,0.293315542,0.098222951
All,Low Fat_Stevia,0.117884706,Otu00012,0.005339492,0.020171414,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - NA,0.212468241,0.05172007,0.268608224,0.064086829
All,Low Fat_Stevia,0.115040107,Otu00010,0.00680915,0.02315111,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - NA,0.096007837,0.046285722,0.15192628,0.075010806
All,High Fat_Saccharin,0.250117253,Otu00001,0.113665553,0.2147016,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - NA,0.3186547,0.169074511,0.349442486,0.100876521
All,High Fat_Saccharin,0.148420563,Otu00002,0.254676922,0.384845126,Proteobacteria - Betaproteobacteria - Burkholderiales - Alcaligenaceae - NA,0.079453501,0.083065779,0.099469253,0.096242648
All,High Fat_Stevia,0.23005238,Otu00001,0.730069728,0.800721637,Firmicutes - Clostridia - Clostridiales - Peptococcaceae - NA,0.3186547,0.169074511,0.293315542,0.098222951
All,High Fat_Stevia,0.149702443,Otu00012,0.09090164,0.185783882,Firmicutes - Erysipelotrichia - Erysipelotrichales - Erysipelotrichaceae - NA,0.239484518,0.100622416,0.268608224,0.064086829
All,High Fat_Stevia,0.117757857,Otu00002,0.782511727,0.818627653,Firmicutes - Clostridia - Clostridiales - Clostridiales_unclassified - NA,0.079453501,0.083065779,0.061688355,0.057782704
All,Saccharin_Stevia,0.199316539,Otu00001,0.09090164,0.185783882,Tenericutes - Mollicutes - Mollicutes_RF9 - Mollicutes_RF9_fa - NA,0.349442486,0.100876521,0.293315542,0.098222951
All,Saccharin_Stevia,0.143711117,Otu00002,0.201735984,0.326620164,Firmicutes - Clostridia - Clostridiales - Peptostreptococcaceae - NA,0.099469253,0.096242648,0.061688355,0.057782704
All,Saccharin_Stevia,0.133304794,Otu00010,0.704289834,0.785109978,Firmicutes - Clostridia - Clostridiales - Family_XIII - NA,0.154583843,0.072193252,0.15192628,0.075010806
All,Pre-treatment_Post-treatment,0.23364166,Otu00001,0.000313438,0.005628119,Firmicutes - Clostridia - Clostridiales - Clostridiaceae_1 - NA,0.401176527,0.123890236,0.298245886,0.118572109
All,Pre-treatment_Post-treatment,0.117944832,Otu00002,0.607867809,0.725175632,Actinobacteria - Coriobacteriia - Coriobacteriales - Coriobacteriaceae - NA,0.03467457,0.030473249,0.087751615,0.096941168
All,Pre-treatment_Post-treatment,0.114389212,Otu00012,0.305421419,0.441886308,Actinobacteria - Actinobacteria - Bifidobacteriales - Bifidobacteriaceae - NA,0.248869822,0.084613149,0.223535208,0.058936794
All,Male_Female,0.238444138,Otu00001,0.011276385,0.036514009,Firmicutes - Bacilli - Lactobacillales - Enterococcaceae - NA,0.309718311,0.107861165,0.389704101,0.141182707
All,Male_Female,0.132142291,Otu00012,0.001522502,0.009074809,Firmicutes - Firmicutes_unclassified - Firmicutes_unclassified - Firmicutes_unclassified - NA,0.263558859,0.082619264,0.208846172,0.050966413
All,Male_Female,0.117411298,Otu00002,0.190814804,0.316473334,Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - NA,0.045065126,0.057696721,0.077361059,0.088936579
Pre,Low Fat_High Fat,0.356841509,Otu00001,0.683091398,0.785109978,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.392758023,0.11029461,0.418238899,0.193011544
Pre,Low Fat_Saccharin,0.288727186,Otu00001,0.513629113,0.684838818,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.392758023,0.11029461,0.423082348,0.090509419
