OTU,LowFat_Pre,LowFat_Post,HighFat_Pre,HighFat_Post,Saccharin_Pre,Saccharin_Post,Stevia_Pre,Stevia_Post,Taxonomy,Significance,Trend,Species
Otu00001,8.05,9.61,0.01,6.98,7.35,11.65,4.81,8.56,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,HF_,NA,S24-7
Otu00003,9.73,4.51,9.02,5.29,7.33,2.91,9.25,5.02,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,SC_,NA,Bacteroides
Otu00004,3.69,1.32,5.14,11.21,4.98,10.29,3.96,8.40,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,HF_SC_,NA,S24-7
Otu00005,4.39,2.63,10.59,0.66,20.91,0.72,11.74,0.24,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,HF_SC_TV,NA,S24-7
Otu00010,0.27,0.81,1.14,5.12,1.92,8.28,1.08,6.66,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,HF_SC_TV,NA,Ruminiclostridium
Otu00012,0.17,0.37,0.43,7.25,0.54,5.61,0.38,6.62,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,HF_TV,NA,Lachnospiraceae
Otu00013,9.82,0.00,10.73,0.33,6.28,0.38,14.02,0.91,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,LF_TV,NA,Lachnospiraceae
Otu00014,0.00,0.00,0.00,6.74,0.00,3.32,0.00,9.09,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,HF_SC_TV,NA,Lactococcus
Otu00018,0.05,0.05,0.05,3.27,0.00,1.77,0.05,6.99,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,TV,NA,Lactobacillus
Otu00033,0.08,4.22,0.61,0.21,1.05,0.32,0.36,0.28,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,LF_,NA,NK4A136
