"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Pre-treatment_Post-treatment",0.218499710426386,"Otu00001",0.102344988499214,0.122813986199057,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.418246437974494,0.192998888082716,0.219070502018367,0.03433539977599
"2",2,"Pre-treatment_Post-treatment",0.109959174527219,"Otu00002",0.05750182024779,0.113340851288912,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.0259973352719421,0.0218547671765473,0.132911325485343,0.0880613660083658
"3",3,"Pre-treatment_Post-treatment",0.093567180225816,"Otu00015",0.000348575174213055,0.00209145104527833,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0.116958909087697,0.036052770170661,0.0158150928329817,0.010786531810485
"4",4,"Male_Female",0.231418207183113,"Otu00001",0.0755605675259416,0.113340851288912,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.25862841819771,0.129015651081243,0.393696034744831,0.190882596762567
"5",5,"Male_Female",0.111113306903521,"Otu00012",0.0408884946966669,0.113340851288912,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.167556648930222,0.06365184309836,0.0981378773420424,0.074782806801363
"6",6,"Male_Female",0.101243172458043,"Otu00002",0.824122747341744,0.824122747341744,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.0728957673545314,0.0829482961947933,0.0876525341587819,0.0881602240178431
