"","Comparison","SIMPER","OTU"
"1","Pre-treatment_Post-treatment",0.218491535475655,"Otu00001"
"2","Pre-treatment_Post-treatment",0.109953125275947,"Otu00002"
"3","Pre-treatment_Post-treatment",0.093561328685303,"Otu00015"
"4","Male_Female",0.231403393805461,"Otu00001"
"5","Male_Female",0.111106652463349,"Otu00012"
"6","Male_Female",0.10123794209563,"Otu00002"
