Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Low Fat_High Fat,0.206646304,Otu00001,0.000605172,0.002937764,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.45328286,0.111942318,0.219070502,0.0343354
Low Fat_High Fat,0.115731349,Otu00002,0.003573757,0.010006519,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.001896913,0.005818513,0.132911325,0.088061366
Low Fat_High Fat,0.080130599,Otu00023,0.019424157,0.038848313,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.108325782,0.078106596,0.029487682,0.038787015
Low Fat_High Fat,0.079751724,Otu00015,0.000238563,0.002226592,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.106679511,0.038426265,0.015815093,0.010786532
Low Fat_Saccharin,0.175013608,Otu00001,0.003288614,0.010006519,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.45328286,0.111942318,0.275802624,0.035083234
Low Fat_Saccharin,0.142478201,Otu00002,0.00018941,0.002226592,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.001896913,0.005818513,0.153438055,0.111772141
Low Fat_Saccharin,0.097082482,Otu00023,0.001746475,0.006112662,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.108325782,0.078106596,0.006283012,0.008023404
Low Fat_Stevia,0.203529098,Otu00001,0.000734441,0.002937764,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.45328286,0.111942318,0.218770644,0.034168054
Low Fat_Stevia,0.097198631,Otu00012,0.000734441,0.002937764,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.064100912,0.028943042,0.176162782,0.038168339
Low Fat_Stevia,0.087447874,Otu00023,0.004360842,0.011100324,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.108325782,0.078106596,0.011503613,0.026562765
Low Fat_Stevia,0.075243328,Otu00014,9.55E-05,0.002226592,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0,0,0.087062914,0.02802722
High Fat_Saccharin,0.190401735,Otu00002,0.757156352,0.78519918,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.132911325,0.088061366,0.153438055,0.111772141
High Fat_Saccharin,0.101651475,Otu00001,0.007076645,0.015242005,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.219070502,0.0343354,0.275802624,0.035083234
High Fat_Saccharin,0.088345603,Otu00012,0.565992148,0.660324173,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0.151861171,0.044539164,0.162135598,0.053762218
High Fat_Saccharin,0.073046941,Otu00010,0.691102224,0.754181479,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.070573396,0.015486792,0.095230246,0.064646722
High Fat_Stevia,0.17701624,Otu00002,0.177665829,0.276369068,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.132911325,0.088061366,0.070368074,0.068986188
High Fat_Stevia,0.089571516,Otu00012,0.148914673,0.245271226,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.151861171,0.044539164,0.176162782,0.038168339
High Fat_Stevia,0.079529436,Otu00018,0.700311373,0.754181479,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.022798833,0.03396472,0.03750876,0.067124427
High Fat_Stevia,0.067019405,Otu00010,0.101876059,0.178283102,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.070573396,0.015486792,0.098570844,0.038138577
High Fat_Stevia,0.063823991,Otu00001,0.92334184,0.92334184,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.219070502,0.0343354,0.218770644,0.034168054
Saccharin_Stevia,0.188925561,Otu00002,0.083264517,0.155427098,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.153438055,0.111772141,0.070368074,0.068986188
Saccharin_Stevia,0.096821676,Otu00001,0.007053638,0.015242005,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.275802624,0.035083234,0.218770644,0.034168054
Saccharin_Stevia,0.087406775,Otu00014,0.000532006,0.002937764,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.031825778,0.010726954,0.087062914,0.02802722
