Comparison,Group,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,Saccharin,0.029591891,Otu00003,0.020921335,0.046491856,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.073325516,0.02701967,0.029078292,0.012118948
Pre-treatment_Post-treatment,Saccharin,0.022279328,Otu00014,0.013874406,0.046491856,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.033154937,0.015238002
Pre-treatment_Post-treatment,Stevia,0.083998538,Otu00013,0.020921335,0.046491856,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.140181294,0.014166263,0.009058563,0.010058695
Pre-treatment_Post-treatment,Stevia,0.073731784,Otu00005,0.020921335,0.046491856,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.11740558,0.088922327,0.002364512,0.001389698
Pre-treatment_Post-treatment,Stevia,0.058659613,Otu00014,0.013874406,0.046491856,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.090916493,0.031344848
Pre-treatment_Post-treatment,Stevia,0.044714406,Otu00018,0.020164573,0.046491856,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000531075,0.000749454,0.069894092,0.082722841
Pre-treatment_Post-treatment,Stevia,0.040271832,Otu00012,0.020164573,0.046491856,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.003814501,0.004190434,0.066216937,0.017781785
Pre-treatment_Post-treatment,Stevia,0.036087019,Otu00010,0.020921335,0.046491856,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.010803609,0.010759733,0.066625249,0.046706139
Pre-treatment_Post-treatment,Saccharin,0.044580012,Otu00010,0.042066412,0.088560868,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.019242604,0.024406666,0.082825434,0.039540031
Pre-treatment_Post-treatment,Low Fat,0.040785177,Otu00003,0.047201768,0.094403535,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.097327088,0.039747235,0.045086371,0.020658643
Pre-treatment_Post-treatment,Low Fat,0.057909368,Otu00023,0.05821274,0.110881409,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.010836402,0.024230931,0.080823662,0.068495855
Pre-treatment_Post-treatment,High Fat,0.066713217,Otu00013,0.071369011,0.129761838,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.107289086,0.068810121,0.003259346,0.004538821
Pre-treatment_Post-treatment,High Fat,0.025813089,Otu00003,0.093692619,0.156154366,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.090216242,0.032436097,0.052858178,0.017596564
