Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,0.135494225,Otu00005,0.020921335,0.057533672,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.209121728,0.112799976,0.007208962,0.006867263
Pre-treatment_Post-treatment,0.035744969,Otu00004,0.020921335,0.057533672,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.049845278,0.01359862,0.102888258,0.016225748
Pre-treatment_Post-treatment,0.029591891,Otu00003,0.020921335,0.057533672,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.073325516,0.02701967,0.029078292,0.012118948
Pre-treatment_Post-treatment,0.022279328,Otu00014,0.013874406,0.057533672,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.033154937,0.015238002
Pre-treatment_Post-treatment,0.044580012,Otu00010,0.042066412,0.092546107,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.019242604,0.024406666,0.082825434,0.039540031
Pre-treatment_Post-treatment,0.022891466,Otu00009,0.090723624,0.166326644,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.000793231,0.001586462,0.034455587,0.028100994
Pre-treatment_Post-treatment,0.034609043,Otu00012,0.110210183,0.17318743,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.005396286,0.002158717,0.056092743,0.057633106
Pre-treatment_Post-treatment,0.073307627,Otu00001,0.248213079,0.303371541,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.073503814,0.11918808,0.116531994,0.039112874
Pre-treatment_Post-treatment,0.040760976,Otu00013,0.245383458,0.303371541,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.062787498,0.045879292,0.003796036,0.001499401
Pre-treatment_Post-treatment,0.026839824,Otu00051,0.321121071,0.353233178,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.000396616,0.000793231,0.03991326,0.069769548
Pre-treatment_Post-treatment,0.022695284,Otu00002,0.772829993,0.772829993,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.040418253,0.021110743,0.0545488,0.042948831
