"","Comparison","SIMPER","OTU"
"1","Pre-treatment_Post-treatment",0.0839985383084206,"Otu00013"
"2","Pre-treatment_Post-treatment",0.0737317841665394,"Otu00005"
"3","Pre-treatment_Post-treatment",0.058659613483747,"Otu00014"
"4","Pre-treatment_Post-treatment",0.058230486973212,"Otu00001"
"5","Pre-treatment_Post-treatment",0.0571355323821,"Otu00009"
"6","Pre-treatment_Post-treatment",0.044714405627387,"Otu00018"
"7","Pre-treatment_Post-treatment",0.043218809407455,"Otu00002"
"8","Pre-treatment_Post-treatment",0.04027183210864,"Otu00012"
"9","Pre-treatment_Post-treatment",0.036087018888963,"Otu00010"
