"","Comparison","SIMPER","OTU"
"1","Pre-treatment_Post-treatment",0.135494225373703,"Otu00005"
"2","Pre-treatment_Post-treatment",0.073307627199922,"Otu00001"
"3","Pre-treatment_Post-treatment",0.044580012219896,"Otu00010"
"4","Pre-treatment_Post-treatment",0.040760975669511,"Otu00013"
"5","Pre-treatment_Post-treatment",0.03574496896349,"Otu00004"
"6","Pre-treatment_Post-treatment",0.03460904301104,"Otu00012"
"7","Pre-treatment_Post-treatment",0.029591890755365,"Otu00003"
"8","Pre-treatment_Post-treatment",0.026839824280801,"Otu00051"
"9","Pre-treatment_Post-treatment",0.022891465613238,"Otu00009"
"10","Pre-treatment_Post-treatment",0.022695283807495,"Otu00002"
"11","Pre-treatment_Post-treatment",0.022279328358894,"Otu00014"
