Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,0.056212888,Otu00014,0.000331066,0.002138209,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.087062914,0.02802722
Pre-treatment_Post-treatment,0.048948776,Otu00012,0.000640639,0.002138209,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001907251,0.00341802,0.077684787,0.019334441
Pre-treatment_Post-treatment,0.041782849,Otu00010,0.00077753,0.002138209,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.012067011,0.008870555,0.076680713,0.036788413
Pre-treatment_Post-treatment,0.036814812,Otu00008,0.000553718,0.002138209,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.057467765,0.052253643,0.000130719,0.000242044
Pre-treatment_Post-treatment,0.044020217,Otu00005,0.002741733,0.005026511,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.073416468,0.077454305,0.005314772,0.004160455
Pre-treatment_Post-treatment,0.033912004,Otu00004,0.002322095,0.005026511,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.035806928,0.010376085,0.087808481,0.029561007
Pre-treatment_Post-treatment,0.041754147,Otu00006,0.246737637,0.387730572,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.06500118,0.070604239,0.000262781,0.00039768
Pre-treatment_Post-treatment,0.04937464,Otu00001,0.522115879,0.717909334,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.054607467,0.085151057,0.06617989,0.04713606
Pre-treatment_Post-treatment,0.044952506,Otu00013,0.666227645,0.814278233,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.070090647,0.075501788,0.005578172,0.007650556
Pre-treatment_Post-treatment,0.03369147,Otu00009,0.862064716,0.948271188,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.046869437,0.081290616,0.015793859,0.018108464
Pre-treatment_Post-treatment,0.042120847,Otu00002,0.958091128,0.958091128,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.053008636,0.04715257,0.070368074,0.068986188
