"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Pre-treatment_Post-treatment",0.0892000086465922,"Otu00001",0.323925591129818,0.462750844471168,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.106934656648294,0.134523337592048,0.108862579703401,0.0514802478978445
"2",2,"Pre-treatment_Post-treatment",0.0832775839771498,"Otu00007",0.121824924128766,0.203041540214611,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0582359490653724,0.10255892833892,0.101626901723149,0.103826423743756
"3",3,"Pre-treatment_Post-treatment",0.058250129621105,"Otu00023",0.00152382118616314,0.0138270961937571,"Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes",0.00604746156564301,0.0170279806619736,0.0791510898642625,0.059428936240384
"4",4,"Pre-treatment_Post-treatment",0.049401677300494,"Otu00008",0.0695374500369814,0.152133580181227,"Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma",0.0792794025598102,0.0531412108223254,0.0396534700821377,0.0508016819859484
"5",5,"Pre-treatment_Post-treatment",0.042726490118531,"Otu00006",0.579052703337944,0.642934035068131,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0486813880147563,0.0643975636651871,0.0328275991536099,0.0495170061271933
"6",6,"Pre-treatment_Post-treatment",0.037359260801516,"Otu00013",0.0760667900906137,0.152133580181227,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0490838543116321,0.0542611523432146,0.00400800192421638,0.011600319028191
"7",7,"Pre-treatment_Post-treatment",0.034099080668904,"Otu00009",0.480354553946005,0.600443192432506,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0375912616781294,0.0687010625203879,0.0164489813088366,0.0286484572851608
"8",8,"Pre-treatment_Post-treatment",0.032054439801146,"Otu00003",0.00812702465291022,0.0270900821763674,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.0710971240333166,0.0391918845566812,0.0338370109940441,0.019212544957777
"9",9,"Pre-treatment_Post-treatment",0.031413523931356,"Otu00011",0.642934035068131,0.642934035068131,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0451030433497205,0.0434425029092956,0.0330210070015163,0.0303556938250096
"10",10,"Pre-treatment_Post-treatment",0.030035554462373,"Otu00015",0.00276541923875143,0.0138270961937571,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0.0448820712339876,0.0285812006391587,0.00853190763293177,0.0154222049695878
