Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,0.046879059,Otu00012,0.00032694,0.001269114,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.002512136,0.003393266,0.075658368,0.024513195
Pre-treatment_Post-treatment,0.041306428,Otu00014,0.000133114,0.001269114,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.06445697,0.027301251
Pre-treatment_Post-treatment,0.032509448,Otu00010,0.000346122,0.001269114,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.009592451,0.005527549,0.06030337,0.018478357
Pre-treatment_Post-treatment,0.024176773,Otu00015,0.000479365,0.001318254,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.037784131,0.024141009,0,0
Pre-treatment_Post-treatment,0.049090565,Otu00005,0.001720144,0.003784316,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.0838579,0.063598775,0.008122491,0.00610482
Pre-treatment_Post-treatment,0.034943677,Otu00004,0.002315807,0.004245646,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.051729271,0.015810362,0.104364382,0.03034977
Pre-treatment_Post-treatment,0.061356674,Otu00001,0.043002876,0.067575947,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.057251324,0.114182811,0.069809321,0.020958514
Pre-treatment_Post-treatment,0.076156858,Otu00002,0.05750182,0.079065003,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.025995677,0.02185454,0.132911325,0.088061366
Pre-treatment_Post-treatment,0.041705353,Otu00011,0.156701665,0.191524258,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.065375134,0.069248093,0.000467379,0.000488341
Pre-treatment_Post-treatment,0.045955231,Otu00006,0.291615165,0.320776681,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.07165183,0.097066583,0.00233516,0.005143558
Pre-treatment_Post-treatment,0.038448491,Otu00013,0.963700892,0.963700892,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.059605048,0.07459827,0.003792858,0.003613456
