"","Comparison","SIMPER","OTU"
"1","Pre-treatment_Post-treatment",0.0761568581594962,"Otu00002"
"2","Pre-treatment_Post-treatment",0.0613566743927728,"Otu00001"
"3","Pre-treatment_Post-treatment",0.049090564750554,"Otu00005"
"4","Pre-treatment_Post-treatment",0.046879058584333,"Otu00012"
"5","Pre-treatment_Post-treatment",0.045955231201803,"Otu00006"
"6","Pre-treatment_Post-treatment",0.041705352673067,"Otu00011"
"7","Pre-treatment_Post-treatment",0.041306428091557,"Otu00014"
"8","Pre-treatment_Post-treatment",0.038448490536116,"Otu00013"
"9","Pre-treatment_Post-treatment",0.034943677324175,"Otu00004"
"10","Pre-treatment_Post-treatment",0.032509447653078,"Otu00010"
"11","Pre-treatment_Post-treatment",0.024176772783965,"Otu00015"
