Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Low Fat_High Fat,0.057558785,Otu00004,0.000231122,0.002167419,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.012194069,0.011568253,0.104364382,0.03034977
Low Fat_High Fat,0.04496697,Otu00012,0.000235566,0.002167419,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.003670881,0.00318113,0.075658368,0.024513195
Low Fat_High Fat,0.040266361,Otu00014,7.10E-05,0.002167419,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.06445697,0.027301251
Low Fat_High Fat,0.032586617,Otu00010,0.000237061,0.002167419,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.008114419,0.005272128,0.06030337,0.018478357
Low Fat_Saccharin,0.095696176,Otu00002,0.00018941,0.002167419,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.001896913,0.005818513,0.15332186,0.111776718
Low Fat_Saccharin,0.035784619,Otu00010,0.000237061,0.002167419,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.008114419,0.005272128,0.064765424,0.031369421
Low Fat_Stevia,0.054399691,Otu00014,9.55E-05,0.002167419,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.087062914,0.02802722
Low Fat_High Fat,0.024805317,Otu00008,0.000346867,0.002191397,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.03965347,0.050801682,0,0
Low Fat_Stevia,0.047213869,Otu00004,0.000366224,0.002191397,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.012194069,0.011568253,0.087808481,0.029561007
Low Fat_Stevia,0.046258075,Otu00012,0.000371409,0.002191397,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.003670881,0.00318113,0.077684787,0.019334441
