Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
All,Low Fat_High Fat,0.070295888,Otu00001,0.111126161,0.283756537,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.107898618,0.099138203,0.063530323,0.079899
All,Low Fat_High Fat,0.057844021,Otu00007,0.029767035,0.099605079,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.079931425,0.102879136,0.013327684,0.022651115
All,Low Fat_High Fat,0.052185876,Otu00002,0.002367308,0.013730385,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.009959929,0.01132593,0.079453501,0.083065779
All,Low Fat_High Fat,0.042649437,Otu00006,0.375825495,0.602706324,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.040754494,0.056497571,0.036993495,0.075618479
All,Low Fat_High Fat,0.040188464,Otu00004,9.56E-07,4.21E-05,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.021506538,0.015911044,0.078046826,0.035839229
All,Low Fat_High Fat,0.038782705,Otu00008,0.001541811,0.010123589,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.059466436,0.05452873,0.018515774,0.029872434
All,Low Fat_High Fat,0.035787621,Otu00011,0.548390724,0.742567984,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.039062025,0.036998116,0.032921257,0.058068352
All,Low Fat_High Fat,0.032203399,Otu00005,0.692970312,0.812702636,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.027688828,0.028268022,0.045990196,0.058645455
All,Low Fat_High Fat,0.032185275,Otu00013,0.275183514,0.520455776,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.026545928,0.044644044,0.031698953,0.058732281
All,Low Fat_High Fat,0.030436653,Otu00023,0.079169353,0.215241678,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.042599276,0.056715568,0.005145522,0.010008542
All,Low Fat_High Fat,0.028873202,Otu00009,0.043375265,0.137223567,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.027020121,0.052365171,0.019112856,0.066104668
All,Low Fat_High Fat,0.026997029,Otu00012,0.003200045,0.017400243,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.002256258,0.003067706,0.039085252,0.041285205
All,Low Fat_Saccharin,0.069808685,Otu00001,0.556884052,0.743165169,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.107898618,0.099138203,0.084863498,0.079592034
All,Low Fat_Saccharin,0.064574951,Otu00002,3.97E-06,0.000125742,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0.009959929,0.01132593,0.099411156,0.096210667
