"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","Low Fat_High Fat",0.0702958878688633,"Otu00001",0.111126160531357,0.291254075096615,NA,"0.107898618175847","0.0991382030992677","0.0635303228069865","0.079898999869106"
"2","Low Fat_High Fat",0.0578440211324727,"Otu00007",0.029767035118474,0.0902313252028744,NA,"0.0799314253942608","0.102879135603453","0.013327683554003","0.0226511154755117"
"3","Low Fat_High Fat",0.052185875982703,"Otu00002",0.00236730776168463,0.013507579581377,NA,"0.00995992895837903","0.0113259297401507","0.0794535010742211","0.0830657793092426"
"4","Low Fat_High Fat",0.04264943717103,"Otu00006",0.375825495096681,0.62273504748116,NA,"0.0407544935841831","0.0564975705218608","0.0369934949739962","0.0756184791333721"
"5","Low Fat_High Fat",0.040188464443846,"Otu00004",9.56447192937641e-07,1.54625629524919e-05,NA,"0.0215065379206478","0.015911044262923","0.0780468260702697","0.0358392290368546"
"6","Low Fat_High Fat",0.038782705000447,"Otu00008",0.0015418110378533,0.00934722941698564,NA,"0.059466436320974","0.0545287298712212","0.0185157742963772","0.0298724344330515"
"7","Low Fat_High Fat",0.035787620836237,"Otu00011",0.54839072416743,0.749718936645906,NA,"0.0390620251756184","0.036998115792133","0.0329212565804433","0.0580683524843448"
"8","Low Fat_High Fat",0.032203398644503,"Otu00005",0.692970311724728,0.808819985669813,NA,"0.0276888277024107","0.0282680224174263","0.0459901956619164","0.0586454547986928"
"9","Low Fat_High Fat",0.032185274889829,"Otu00013",0.275183513713111,0.513323092887918,NA,"0.0265459281179243","0.0446440441237743","0.0316989526447672","0.058732280995541"
"10","Low Fat_High Fat",0.030436652781012,"Otu00023",0.0791693529844153,0.213317423319119,NA,"0.0425992757149528","0.0567155681054279","0.00514552230971392","0.01000854176574"
"11","Low Fat_High Fat",0.028873201764348,"Otu00009",0.0433752653117848,0.123747080448327,NA,"0.027020121493483","0.0523651707080184","0.0191128561261811","0.0661046675154253"
"12","Low Fat_High Fat",0.026997028856755,"Otu00012",0.00320004464494167,0.0172446850310746,NA,"0.00225625787900799","0.00306770636032134","0.039085251687695","0.0412852049442296"
"13","Low Fat_Saccharin",0.0698086846014902,"Otu00001",0.556884051723259,0.749718936645906,NA,"0.107898618175847","0.0991382030992677","0.0848634984037564","0.0795920335164353"
"14","Low Fat_Saccharin",0.0645749507031968,"Otu00002",3.974604842519e-06,4.28374077471492e-05,NA,"0.00995992895837903","0.0113259297401507","0.0994111557560526","0.0962106674987948"
"15","Low Fat_Saccharin",0.058133576021471,"Otu00007",0.00854599958959809,0.0376800890995916,NA,"0.0799314253942608","0.102879135603453","0.0112415511446048","0.025000581035587"
"16","Low Fat_Saccharin",0.043599630214836,"Otu00005",0.781157411468091,0.858997915341173,NA,"0.0276888277024107","0.0282680224174263","0.0613715213529454","0.0960402231871129"
"17","Low Fat_Saccharin",0.03978935385485,"Otu00008",0.013754113117151,0.0517545666326944,NA,"0.059466436320974","0.0545287298712212","0.0266352404310085","0.0397677459279893"
