Comparison,Group,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,High Fat,0.100354052,Otu00006,0.020921335,0.036337056,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.161216617,0.076633421,0.00525411,0.007078219
Pre-treatment_Post-treatment,High Fat,0.072504934,Otu00011,0.019418663,0.036337056,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.113454541,0.049577067,0.000788444,0.000305064
Pre-treatment_Post-treatment,High Fat,0.051276819,Otu00012,0.019418663,0.036337056,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000263852,0.00030467,0.079580352,0.021899333
Pre-treatment_Post-treatment,High Fat,0.04363975,Otu00008,0.013874406,0.036337056,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.067811574,0.021822203,0,0
Pre-treatment_Post-treatment,High Fat,0.041599596,Otu00010,0.020921335,0.036337056,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.007387726,0.003634159,0.071704597,0.01863181
Pre-treatment_Post-treatment,Low Fat,0.064031249,Otu00023,0.013191645,0.036337056,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.001258521,0.002814139,0.077478517,0.056990092
Pre-treatment_Post-treatment,Saccharin,0.118837931,Otu00002,0.009023439,0.036337056,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.04956621,0.029877192,0.232340308,0.077740635
Pre-treatment_Post-treatment,Saccharin,0.072938132,Otu00006,0.008207736,0.036337056,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.113949021,0.063465528,0.00063169,0.000941256
Pre-treatment_Post-treatment,Saccharin,0.049131928,Otu00008,0.005345677,0.036337056,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.076304784,0.042727828,0,0
Pre-treatment_Post-treatment,Saccharin,0.04847527,Otu00012,0.005345677,0.036337056,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0,0,0.074685918,0.011757191
Pre-treatment_Post-treatment,Saccharin,0.045137678,Otu00011,0.008815858,0.036337056,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.070863145,0.030979814,0.000837181,0.000597605
Pre-treatment_Post-treatment,Saccharin,0.03371372,Otu00015,0.005345677,0.036337056,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.052478471,0.042122355,0,0
Pre-treatment_Post-treatment,Stevia,0.082781298,Otu00006,0.020164573,0.036337056,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.130002361,0.019091733,0.000525562,0.000429967
Pre-treatment_Post-treatment,Stevia,0.065761904,Otu00008,0.017960478,0.036337056,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.103000427,0.028332049,0.000130753,0.000261506
Pre-treatment_Post-treatment,Stevia,0.057324267,Otu00012,0.013874406,0.036337056,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0,0,0.089152637,0.014330341
Pre-treatment_Post-treatment,Stevia,0.053474687,Otu00014,0.013874406,0.036337056,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.083209335,0.028474412
Pre-treatment_Post-treatment,Stevia,0.047227985,Otu00010,0.020921335,0.036337056,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.013330412,0.007973334,0.086736177,0.02658585
Pre-treatment_Post-treatment,Stevia,0.043742644,Otu00011,0.017960478,0.036337056,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.069195026,0.012232026,0.000788238,0.000525504
Pre-treatment_Post-treatment,Stevia,0.042114828,Otu00015,0.017960478,0.036337056,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.066078719,0.034494658,0.000130548,0.000261097
Pre-treatment_Post-treatment,Low Fat,0.037758109,Otu00015,0.027802962,0.045874888,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.051547023,0.02546946,0.008955053,0.019150365
