Comparison,Group,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,Low Fat,0.041723557,Otu00011,0.046532985,0.073123262,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.076143587,0.029133435,0.027766689,0.028522887
Pre-treatment_Post-treatment,Low Fat,0.085193953,Otu00007,0.05821274,0.08731911,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.018315018,0.040953626,0.105650079,0.096935368
Pre-treatment_Post-treatment,Saccharin,0.050738271,Otu00004,0.117185087,0.168135125,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.033918391,0.010989931,0.098451143,0.055967513
Pre-treatment_Post-treatment,Low Fat,0.064427541,Otu00008,0.174525341,0.239972343,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.117533665,0.043320376,0.060981076,0.064271127
Pre-treatment_Post-treatment,High Fat,0.080952663,Otu00002,0.248213079,0.327641264,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.033504579,0.029807032,0.14180049,0.097098214
Pre-treatment_Post-treatment,Low Fat,0.051383013,Otu00006,0.347207639,0.440686619,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.097258609,0.05857844,0.065655198,0.053129305
Pre-treatment_Post-treatment,Stevia,0.039935228,Otu00002,0.563702862,0.688970164,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.070796913,0.057902454,0.071457037,0.067060799
Pre-treatment_Post-treatment,Low Fat,0.026399973,Otu00021,0.600401848,0.707616464,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.024982448,0.034706793,0.033684816,0.015197691
Pre-treatment_Post-treatment,Saccharin,0.056222229,Otu00001,0.751085538,0.844117754,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.070236348,0.094449853,0.0832436,0.069268651
Pre-treatment_Post-treatment,Stevia,0.044685525,Otu00001,0.767379776,0.844117754,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.061123976,0.087299716,0.046764969,0.056488034
Pre-treatment_Post-treatment,Low Fat,0.027204661,Otu00031,0.881497452,0.938368256,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.008267923,0.018487637,0.027768945,0.06209325
Pre-treatment_Post-treatment,Low Fat,0.094711826,Otu00001,0.916814949,0.945465416,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.133375747,0.133291642,0.121576666,0.053335518
Pre-treatment_Post-treatment,High Fat,0.082848566,Otu00001,1,1,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.128685204,0.150068144,0.069839426,0.0309171
